STDR_YYQU_CD,ADSTRD_CD,ADSTRD_CD_NM,SVC_INDUTY_CD,SVC_INDUTY_CD_NM,THSMON_SELNG_AMT,THSMON_SELNG_CO,MDWK_SELNG_AMT,WKEND_SELNG_AMT,MON_SELNG_AMT,TUES_SELNG_AMT,WED_SELNG_AMT,THUR_SELNG_AMT,FRI_SELNG_AMT,SAT_SELNG_AMT,SUN_SELNG_AMT,TMZON_00_06_SELNG_AMT,TMZON_06_11_SELNG_AMT,TMZON_11_14_SELNG_AMT,TMZON_14_17_SELNG_AMT,TMZON_17_21_SELNG_AMT,TMZON_21_24_SELNG_AMT,ML_SELNG_AMT,FML_SELNG_AMT,AGRDE_10_SELNG_AMT,AGRDE_20_SELNG_AMT,AGRDE_30_SELNG_AMT,AGRDE_40_SELNG_AMT,AGRDE_50_SELNG_AMT,AGRDE_60_ABOVE_SELNG_AMT,MDWK_SELNG_CO,WKEND_SELNG_CO,MON_SELNG_CO,TUES_SELNG_CO,WED_SELNG_CO,THUR_SELNG_CO,FRI_SELNG_CO,SAT_SELNG_CO,SUN_SELNG_CO,TMZON_00_06_SELNG_CO,TMZON_06_11_SELNG_CO,TMZON_11_14_SELNG_CO,TMZON_14_17_SELNG_CO,TMZON_17_21_SELNG_CO,TMZON_21_24_SELNG_CO,ML_SELNG_CO,FML_SELNG_CO,AGRDE_10_SELNG_CO,AGRDE_20_SELNG_CO,AGRDE_30_SELNG_CO,AGRDE_40_SELNG_CO,AGRDE_50_SELNG_CO,AGRDE_60_ABOVE_SELNG_CO
20253,11215860,구의2동,CS200019,PC방,299889620.0,40120.0,208378059.0,91511561.0,39382572.0,44061657.0,43588615.0,42389180.0,38956035.0,43280740.0,48230821.0,50826928.0,21371780.0,37237055.0,44319825.0,90849304.0,55284728.0,222665703.0,77223917.0,15962514.0,140934329.0,82442928.0,22837437.0,36608810.0,1103602.0,27500.0,12620.0,5132.0,6093.0,5612.0,5292.0,5371.0,6270.0,6350.0,7023.0,3239.0,4714.0,6446.0,10777.0,7921.0,26535.0,13585.0,2989.0,21282.0,8312.0,3808.0,3601.0,128.0
20253,11215860,구의2동,CS200024,스포츠클럽,106999345.0,542.0,78022749.0,28976596.0,7579484.0,13395016.0,15765327.0,30014755.0,11268167.0,26551162.0,2425434.0,0.0,10105979.0,33120048.0,32743370.0,27189676.0,3840272.0,43527298.0,63472047.0,1819076.0,17820607.0,15729877.0,13958255.0,32174671.0,25496859.0,386.0,156.0,64.0,73.0,111.0,83.0,55.0,129.0,27.0,0.0,82.0,101.0,166.0,166.0,27.0,234.0,308.0,18.0,140.0,103.0,67.0,84.0,130.0
20253,11215860,구의2동,CS200025,자동차수리,464539600.0,2299.0,399677030.0,64862570.0,69949466.0,77661989.0,67968976.0,107639895.0,76456704.0,52670059.0,12192511.0,0.0,57172002.0,142528089.0,151548703.0,111726646.0,1564160.0,234190688.0,171180160.0,0.0,24005685.0,65620549.0,103918833.0,123058368.0,88767414.0,1817.0,482.0,316.0,385.0,378.0,346.0,392.0,423.0,59.0,0.0,318.0,737.0,747.0,486.0,11.0,1411.0,659.0,0.0,76.0,346.0,576.0,576.0,496.0
20253,11215860,구의2동,CS200028,미용실,458413935.0,13011.0,281874884.0,176539051.0,36228266.0,67049830.0,52215049.0,57531564.0,68850175.0,106224499.0,70314552.0,0.0,22234916.0,113095214.0,128676957.0,189858275.0,4548573.0,182361006.0,275029107.0,3275664.0,47955220.0,56443867.0,95205976.0,143423015.0,111086371.0,8662.0,4349.0,1348.0,2077.0,1519.0,1795.0,1923.0,2839.0,1510.0,0.0,1074.0,3350.0,3838.0,4696.0,53.0,6937.0,6047.0,93.0,1279.0,1737.0,2399.0,4003.0,3473.0
20253,11215860,구의2동,CS200029,네일숍,40724545.0,451.0,23874530.0,16850015.0,1598987.0,2426049.0,9483648.0,4355860.0,6009986.0,7862605.0,8987410.0,0.0,1764399.0,8369869.0,9329263.0,19055514.0,2205500.0,4576411.0,36148134.0,0.0,1984950.0,12185383.0,12394905.0,11843532.0,2315775.0,308.0,143.0,22.0,33.0,121.0,66.0,66.0,99.0,44.0,0.0,44.0,88.0,110.0,187.0,22.0,77.0,374.0,0.0,22.0,110.0,176.0,121.0,22.0
20253,11215860,구의2동,CS200030,피부관리실,5083611.0,89.0,4171469.0,912142.0,0.0,3259327.0,0.0,912142.0,0.0,912142.0,0.0,0.0,0.0,243238.0,2128332.0,2043137.0,668904.0,0.0,5083611.0,0.0,0.0,668904.0,0.0,1945903.0,2468804.0,65.0,24.0,0.0,41.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,12.0,36.0,29.0,12.0,0.0,89.0,0.0,0.0,12.0,0.0,36.0,41.0
20253,11215860,구의2동,CS200031,세탁소,2952267211.0,14647.0,2868241285.0,84025926.0,128391052.0,1080920209.0,352071473.0,819723655.0,487134896.0,84025926.0,0.0,0.0,1222669666.0,1421132598.0,266478869.0,28249244.0,13736834.0,525691142.0,774427115.0,0.0,4578945.0,539103003.0,726708176.0,15966117.0,13762015.0,14189.0,458.0,1136.0,3297.0,3408.0,2943.0,3405.0,458.0,0.0,0.0,5218.0,5218.0,3526.0,456.0,229.0,680.0,3530.0,0.0,229.0,680.0,2493.0,227.0,580.0
20253,11215860,구의2동,CS200034,여관,139396773.0,1800.0,76708178.0,62688595.0,10170714.0,22399649.0,10461447.0,19356584.0,14319784.0,47977923.0,14710672.0,20889701.0,3325693.0,32545512.0,17093396.0,41873266.0,23669205.0,75747145.0,54870458.0,1685713.0,6287158.0,10797439.0,56316465.0,39295796.0,16235033.0,1160.0,640.0,203.0,254.0,196.0,221.0,286.0,346.0,294.0,329.0,73.0,262.0,392.0,531.0,213.0,1320.0,350.0,26.0,130.0,190.0,394.0,491.0,438.0
20253,11215860,구의2동,CS200037,노래방,226153342.0,13690.0,134254657.0,91898685.0,18715910.0,30314353.0,28645083.0,21160770.0,35418541.0,56127950.0,35770735.0,53826595.0,0.0,5662638.0,14565017.0,63845115.0,88253977.0,161162212.0,60172872.0,4806835.0,36691912.0,53787177.0,41727951.0,44182489.0,40138723.0,8982.0,4708.0,1492.0,1688.0,1841.0,1667.0,2294.0,2757.0,1951.0,1134.0,0.0,725.0,1728.0,5425.0,4678.0,8097.0,5553.0,932.0,4524.0,4190.0,1732.0,1336.0,938.0
20253,11215860,구의2동,CS300001,슈퍼마켓,2680801830.0,228901.0,2026899679.0,653902151.0,394382212.0,403914282.0,339833118.0,470765373.0,418004694.0,398210493.0,255691658.0,946188.0,248068863.0,347203566.0,714600180.0,1066943795.0,303039238.0,1086837161.0,1213147447.0,1429147.0,107470622.0,296729336.0,483960968.0,673826630.0,736567903.0,171483.0,57418.0,36369.0,33991.0,33320.0,33610.0,34193.0,33956.0,23462.0,353.0,21474.0,34029.0,42971.0,99383.0,30691.0,114376.0,113400.0,278.0,14705.0,34339.0,47642.0,60239.0,70573.0
